repository_language,repos_by_lang
JavaScript,2004242
Ruby,1531802
Java,1530042
PHP,1036148
Python,942043
C,804872
C++,554621
CSS,509366
Shell,304334
C#,288997
Objective-C,274479
Perl,213765
CoffeeScript,108630
Go,93906
Scala,79901
VimL,62163
R,56934
Haskell,50247
Clojure,44535
Lua,41411
Groovy,35074
Emacs Lisp,32191
Erlang,31627
Puppet,26750
TeX,21249
Swift,21059
Matlab,19604
ActionScript,16469
Arduino,16251
OCaml,13616
Tcl,13107
Visual Basic,12680
TypeScript,12472
D,11161
Assembly,9410
Dart,9123
Prolog,9052
Common Lisp,8914
XSLT,8350
PowerShell,8011
Scheme,7688
Rust,7463
FORTRAN,7399
ASP,7339
Processing,7297
Julia,6426
F#,5477
Elixir,5025
ColdFusion,4493
Vala,4387
